time,Unnamed: 0,name,agreepeople,rate,rating,comment,location
2019-04-24,280,280,280,280,280,280,280
2019-04-25,80,80,80,80,80,80,80
2019-04-26,40,40,40,40,40,40,40
2019-04-27,20,20,20,20,20,20,20
2019-04-28,60,60,60,60,60,60,60
2019-04-29,0,0,0,0,0,0,0
2019-04-30,0,0,0,0,0,0,0
2019-05-01,0,0,0,0,0,0,0
2019-05-02,0,0,0,0,0,0,0
2019-05-03,0,0,0,0,0,0,0
2019-05-04,0,0,0,0,0,0,0
2019-05-05,0,0,0,0,0,0,0
2019-05-06,0,0,0,0,0,0,0
2019-05-07,0,0,0,0,0,0,0
2019-05-08,0,0,0,0,0,0,0
2019-05-09,0,0,0,0,0,0,0
2019-05-10,0,0,0,0,0,0,0
2019-05-11,0,0,0,0,0,0,0
2019-05-12,0,0,0,0,0,0,0
2019-05-13,20,20,20,20,20,20,20
