,city,count
0,上海,53
1,云南,2
2,云南,1
3,内蒙古,1
4,北京,133
5,台湾,2
6,台湾,1
7,吉林,1
8,四川,1
9,四川,1
10,四川,11
11,天津,3
12,安徽,2
13,安徽,1
14,山东,1
15,山东,1
16,山东,1
17,山东,5
18,山西,2
19,山西,1
20,广东,1
21,广东,1
22,广东,1
23,广东,17
24,广东,1
25,广东,1
26,广东,10
27,广东,1
28,广西,1
29,广西,1

31,江苏,1
32,江苏,13
33,江苏,1
34,江苏,1
35,江苏,1
36,江苏,1
37,江苏,2
38,江苏,1
39,江苏,1
40,江西,1
41,江西,2
42,江西,1
43,河北,1
44,河北,1
45,河南,1
46,河南,1
47,河南,3
48,浙江,1
49,浙江,1
50,浙江,3
51,浙江,12
52,浙江,1
53,浙江,1
54,浙江,1
55,湖北,12
56,湖北,1
57,湖南,1
58,湖南,1
59,湖南,3
60,澳门,1
61,福建,4
62,福建,3
63,福建,1
64,福建,1
65,辽宁,2
66,辽宁,1
67,重庆,8
68,陕西,10
69,香港,6
70,黑龙江,1
71,黑龙江,2
